term_code,module_code,class_name,course_title,section_code,instruction_type_name,capacity,enrolled,seats_available,waitlist_capacity,waitlist_enrolled,waitlist_available,status,is_cancelled,instructors_text
FA26,ANTH-299,ANTH 299,Dissertation Research,022-000-IN,in,8,0,8,,,,AC,false,Nancy Postero
FA26,ANTH-299,ANTH 299,Dissertation Research,023-000-IN,in,8,0,8,,,,AC,false,Isabel Rivera-Collazo
FA26,ANTH-299,ANTH 299,Dissertation Research,024-000-IN,in,8,0,8,,,,AC,false,Ekaterini Semendeferi
FA26,ANTH-299,ANTH 299,Dissertation Research,025-000-IN,in,8,0,8,,,,AC,false,Saiba Varma
FA26,ANTH-299,ANTH 299,Dissertation Research,026-000-IN,in,8,0,8,,,,AC,false,Rihan Yeh
FA26,ANTH-500,ANTH 500,Apprentice Teaching,001-000-SE,se,25,0,25,,,,AC,false,David Pedersen
FA26,ASTR-001,ASTR 001,Stars and Black Holes,001-000-LE,lecture,300,0,300,,,,AC,false,Shelley Wright
FA26,ASTR-001,ASTR 001,Stars and Black Holes,001-001-DI,discussion,300,0,300,,,,AC,false,Shelley Wright
FA26,ASTR-018,ASTR 018,Topics in Classical Physics,001-000-LE,lecture,37,0,37,,,,AC,false,Kam Arnold
FA26,ASTR-018,ASTR 018,Topics in Classical Physics,001-001-DI,discussion,37,0,37,,,,AC,false,Kam Arnold
FA26,ASTR-020A,ASTR 020A,Intro to Astrophysics I,001-000-LE,lecture,56,0,56,,,,AC,false,Christopher Theissen
FA26,ASTR-020A,ASTR 020A,Intro to Astrophysics I,001-001-DI,discussion,56,0,56,,,,AC,false,Christopher Theissen
FA26,ASTR-065,ASTR 065,Astronomy of Climate Change,001-000-LE,lecture,75,0,75,,,,AC,false,Samantha Trumbo
FA26,ASTR-065,ASTR 065,Astronomy of Climate Change,001-001-DI,discussion,75,0,75,,,,AC,false,Samantha Trumbo
FA26,ASTR-101,ASTR 101,Astrophysical Dynamics,001-000-LE,lecture,40,0,40,,,,AC,false,Adam Burgasser
FA26,ASTR-101,ASTR 101,Astrophysical Dynamics,001-001-DI,discussion,40,0,40,,,,AC,false,Adam Burgasser
FA26,ASTR-104,ASTR 104,Thermal Astrophysics,001-000-LE,lecture,32,0,32,,,,AC,false,Eve Lee
FA26,ASTR-104,ASTR 104,Thermal Astrophysics,001-001-DI,discussion,32,0,32,,,,AC,false,Eve Lee
FA26,ASTR-122,ASTR 122,Physical Cosmology,001-000-LE,lecture,37,0,37,,,,AC,false,Ethan Nadler
FA26,ASTR-122,ASTR 122,Physical Cosmology,001-001-DI,discussion,37,0,37,,,,AC,false,Ethan Nadler
FA26,ASTR-150,ASTR 150,Observational Optical Lab,001-000-LE,lecture,40,0,40,,,,AC,false,Griffin Hosseinzadeh
FA26,ASTR-150,ASTR 150,Observational Optical Lab,001-001-LA,lab,40,0,40,,,,AC,false,Griffin Hosseinzadeh
FA26,ASTR-200,ASTR 200,Survey of Astronomy,001-000-LE,lecture,30,0,30,,,,AC,false,Karin Sandstrom
FA26,ASTR-215,ASTR 215,Stellar Remnants,001-000-LE,lecture,30,0,30,,,,AC,false,Kyle Kremer
FA26,ASTR-250,ASTR 250,Astro Colloquium,001-000-SE,se,30,0,30,,,,AC,false,
FA26,ASTR-251,ASTR 251,Astro Journal Club,001-000-SE,se,30,0,30,,,,AC,false,
FA26,ASTR-500,ASTR 500,Astronomical Teaching Training,001-000-LE,lecture,30,0,30,,,,AC,false,Karin Sandstrom
FA26,AUD-236,AUD 236,Preceptorship in Neuro-Otology,001-000-SE,se,13,0,13,,,,AC,false,Jeffrey Harris
FA26,AUD-236,AUD 236,Preceptorship in Neuro-Otology,001-001-PR,pr,13,0,13,,,,AC,false,Jeffrey Harris
FA26,AUD-236,AUD 236,Preceptorship in Neuro-Otology,002-000-SE,se,13,0,13,,,,AC,false,Elina Kari
FA26,AUD-236,AUD 236,Preceptorship in Neuro-Otology,002-001-PR,pr,13,0,13,,,,AC,false,Elina Kari
FA26,AUD-257,AUD 257,Ear Diseases & Treatment,001-000-LE,lecture,12,0,12,,,,AC,false,Erika Zettner
FA26,AUD-263,AUD 263,Phys & Behav Tests Vest Func,001-000-LE,lecture,13,0,13,,,,AC,false,Erika Zettner
FA26,AUD-274,AUD 274,Adv Techn Aspects/Hearing Ampl,001-000-LE,lecture,13,0,13,,,,AC,false,Madeline Gibson
FA26,AUD-274,AUD 274,Adv Techn Aspects/Hearing Ampl,001-001-LA,lab,13,0,13,,,,AC,false,Madeline Gibson
FA26,AUD-284,AUD 284,Clin Practice in Audiology II,001-000-SE,se,13,0,13,,,,AC,false,Erika Zettner
FA26,AUD-284,AUD 284,Clin Practice in Audiology II,001-001-PR,pr,13,0,13,,,,AC,false,Erika Zettner
FA26,AUD-284,AUD 284,Clin Practice in Audiology II,002-000-SE,se,13,0,13,,,,AC,false,Madeline Gibson
FA26,AUD-284,AUD 284,Clin Practice in Audiology II,002-001-PR,pr,13,0,13,,,,AC,false,Madeline Gibson
FA26,AUD-291,AUD 291,Clinical Case Studies/Staffing,001-000-DI,discussion,13,0,13,,,,AC,false,Erika Zettner
FA26,AUD-296,AUD 296,Research Practicum,001-000-LA,lab,13,0,13,,,,AC,false,Erika Zettner
FA26,AUD-296,AUD 296,Research Practicum,002-000-LA,lab,13,0,13,,,,AC,false,Jeffrey Harris
FA26,AUD-296,AUD 296,Research Practicum,003-000-LA,lab,13,0,13,,,,AC,false,Madeline Gibson
FA26,AUD-298,AUD 298,Independent Research,001-000-LA,lab,13,0,13,,,,AC,false,Erika Zettner
FA26,AUD-298,AUD 298,Independent Research,002-000-LA,lab,13,0,13,,,,AC,false,Madeline Gibson
FA26,AUD-299,AUD 299,Doctoral Project,001-000-IN,in,13,0,13,,,,AC,false,Erika Zettner
FA26,AUD-299,AUD 299,Doctoral Project,002-000-IN,in,13,0,13,,,,AC,false,Jeffrey Harris
FA26,AUD-299,AUD 299,Doctoral Project,003-000-IN,in,13,0,13,,,,AC,false,Madeline Gibson
FA26,AUD-299,AUD 299,Doctoral Project,004-000-IN,in,13,0,13,,,,AC,false,Allen Ryan
